##FastQC	0.11.3
>>Basic Statistics	pass
#Measure	Value
Filename	NGS200B_25_192564_FC_F_BRCAv2_Pan1449_S1_R1_001.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	663216
Sequences flagged as poor quality	0
Sequence length	151
%GC	43
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	33.48970320378278	34.0	34.0	34.0	34.0	34.0
2	33.52244819184097	34.0	34.0	34.0	34.0	34.0
3	33.574134218716075	34.0	34.0	34.0	34.0	34.0
4	33.55453125376951	34.0	34.0	34.0	34.0	34.0
5	33.56019305927481	34.0	34.0	34.0	34.0	34.0
6	37.05536959301344	38.0	38.0	38.0	36.0	38.0
7	37.01996785361029	38.0	38.0	38.0	36.0	38.0
8	36.89502062676413	38.0	37.0	38.0	35.0	38.0
9	36.85975458975658	38.0	37.0	38.0	35.0	38.0
10	36.85268449494584	38.0	37.0	38.0	35.0	38.0
11	36.826221019999515	38.0	37.0	38.0	35.0	38.0
12	36.79935797688837	38.0	37.0	38.0	34.0	38.0
13	36.796737412848906	38.0	37.0	38.0	34.0	38.0
14	36.77460887553979	38.0	37.0	38.0	34.0	38.0
15	36.779586137849506	38.0	37.0	38.0	34.0	38.0
16	36.76029528841283	38.0	37.0	38.0	34.0	38.0
17	36.34496604424501	38.0	37.0	38.0	34.0	38.0
18	36.59776302139876	38.0	37.0	38.0	34.0	38.0
19	36.664275288895325	38.0	37.0	38.0	34.0	38.0
20	36.63674730404574	38.0	37.0	38.0	34.0	38.0
21	36.631569503751415	38.0	37.0	38.0	34.0	38.0
22	36.624184277822	38.0	37.0	38.0	34.0	38.0
23	36.615696846879445	38.0	37.0	38.0	34.0	38.0
24	36.5407408747678	38.0	37.0	38.0	34.0	38.0
25	36.540650406504064	38.0	37.0	38.0	34.0	38.0
26	36.41598061566669	38.0	37.0	38.0	34.0	38.0
27	36.433854128971554	38.0	37.0	38.0	34.0	38.0
28	36.40263051554848	38.0	37.0	38.0	34.0	38.0
29	36.3787619719669	38.0	37.0	38.0	34.0	38.0
30	36.30616872934308	38.0	37.0	38.0	34.0	38.0
31	36.31140684181322	38.0	37.0	38.0	34.0	38.0
32	36.23031561361608	38.0	37.0	38.0	34.0	38.0
33	36.1677749028974	38.0	37.0	38.0	34.0	38.0
34	36.209147547706934	38.0	37.0	38.0	34.0	38.0
35	36.24663307278473	38.0	37.0	38.0	34.0	38.0
36	36.25100721333623	38.0	37.0	38.0	34.0	38.0
37	36.22561729511954	38.0	37.0	38.0	34.0	38.0
38	36.21591909724735	38.0	37.0	38.0	34.0	38.0
39	36.19026531326144	38.0	37.0	38.0	34.0	38.0
40	36.13746954235121	38.0	37.0	38.0	34.0	38.0
41	36.05148699669489	38.0	37.0	38.0	34.0	38.0
42	36.08579105449808	38.0	37.0	38.0	34.0	38.0
43	36.08145611686087	38.0	37.0	38.0	34.0	38.0
44	35.968364755976935	38.0	37.0	38.0	32.0	38.0
45	35.9219771537478	38.0	37.0	38.0	32.0	38.0
46	35.98971978963113	38.0	37.0	38.0	32.0	38.0
47	36.06224518105715	38.0	37.0	38.0	34.0	38.0
48	35.92580999252129	38.0	37.0	38.0	32.0	38.0
49	35.88220881281513	38.0	37.0	38.0	32.0	38.0
50	35.93246091771007	38.0	37.0	38.0	32.0	38.0
51	35.987066053894964	38.0	37.0	38.0	32.0	38.0
52	35.96930411811537	38.0	37.0	38.0	32.0	38.0
53	35.987602832259775	38.0	37.0	38.0	32.0	38.0
54	35.96764854888905	38.0	37.0	38.0	32.0	38.0
55	35.90758063737908	38.0	37.0	38.0	32.0	38.0
56	35.92834159610142	38.0	37.0	38.0	32.0	38.0
57	35.86701617572555	38.0	37.0	38.0	32.0	38.0
58	35.80839123302212	38.0	37.0	38.0	32.0	38.0
59	35.80579931726617	38.0	37.0	38.0	32.0	38.0
60	35.85170592989313	38.0	37.0	38.0	32.0	38.0
61	35.87800806976912	38.0	37.0	38.0	32.0	38.0
62	35.866952847940944	38.0	37.0	38.0	32.0	38.0
63	35.85541965211937	38.0	37.0	38.0	32.0	38.0
64	35.84469162384502	38.0	37.0	38.0	32.0	38.0
65	35.806669320402406	38.0	37.0	38.0	32.0	38.0
66	35.73950417360257	38.0	37.0	38.0	31.0	38.0
67	35.72241773419218	38.0	37.0	38.0	31.0	38.0
68	35.69590902511399	38.0	37.0	38.0	31.0	38.0
69	35.74848465658247	38.0	37.0	38.0	31.0	38.0
70	35.68965616028564	38.0	37.0	38.0	31.0	38.0
71	35.62114454416057	38.0	37.0	38.0	31.0	38.0
72	35.617667547224436	38.0	37.0	38.0	31.0	38.0
73	35.63860944247425	38.0	37.0	38.0	31.0	38.0
74	35.54607850232805	38.0	37.0	38.0	31.0	38.0
75	35.57892752888953	38.0	37.0	38.0	31.0	38.0
76	35.43086415285518	38.0	36.0	38.0	31.0	38.0
77	35.358163856119276	38.0	36.0	38.0	29.0	38.0
78	35.38704434151166	38.0	36.0	38.0	30.0	38.0
79	35.523959011845314	38.0	36.0	38.0	31.0	38.0
80	35.53899483727775	38.0	37.0	38.0	31.0	38.0
81	35.5447712359171	38.0	37.0	38.0	31.0	38.0
82	35.52480036669803	38.0	37.0	38.0	31.0	38.0
83	35.515467057489566	38.0	37.0	38.0	31.0	38.0
84	35.52783406914188	38.0	37.0	38.0	31.0	38.0
85	35.362562121541096	38.0	36.0	38.0	29.0	38.0
86	35.390227316590675	38.0	36.0	38.0	30.0	38.0
87	35.41590220983812	38.0	36.0	38.0	30.0	38.0
88	35.42021754601819	38.0	36.0	38.0	30.0	38.0
89	35.398426756893684	38.0	36.0	38.0	30.0	38.0
90	35.36682619237172	38.0	36.0	38.0	29.0	38.0
91	35.29893729946202	38.0	36.0	38.0	27.0	38.0
92	35.31996212395359	38.0	36.0	38.0	28.0	38.0
93	35.22719747412608	38.0	36.0	38.0	27.0	38.0
94	35.114967069552	38.0	36.0	38.0	27.0	38.0
95	35.172470205785146	38.0	36.0	38.0	27.0	38.0
96	35.17496863766857	38.0	36.0	38.0	27.0	38.0
97	35.06905141009867	38.0	36.0	38.0	27.0	38.0
98	35.173807628283996	38.0	36.0	38.0	27.0	38.0
99	35.172492822851076	38.0	36.0	38.0	27.0	38.0
100	35.151000578996886	38.0	36.0	38.0	27.0	38.0
101	35.15972775083834	38.0	36.0	38.0	27.0	38.0
102	35.156166316856044	38.0	36.0	38.0	27.0	38.0
103	35.12036651709247	38.0	36.0	38.0	27.0	38.0
104	35.12138880847265	38.0	36.0	38.0	27.0	38.0
105	35.07383718125015	38.0	36.0	38.0	27.0	38.0
106	35.01275904079515	38.0	36.0	38.0	27.0	38.0
107	34.99134067935635	38.0	36.0	38.0	27.0	38.0
108	35.04325589249958	38.0	36.0	38.0	27.0	38.0
109	35.0097630334612	38.0	36.0	38.0	27.0	38.0
110	34.92208420785988	38.0	36.0	38.0	27.0	38.0
111	34.959946684036574	38.0	36.0	38.0	27.0	38.0
112	34.98191840968855	38.0	36.0	38.0	27.0	38.0
113	34.88628290029191	38.0	36.0	38.0	27.0	38.0
114	34.864924851028924	38.0	36.0	38.0	27.0	38.0
115	34.890019239584085	38.0	36.0	38.0	27.0	38.0
116	34.83914893488698	38.0	36.0	38.0	27.0	38.0
117	34.58145008564329	38.0	35.0	38.0	25.0	38.0
118	34.69934078791827	38.0	35.0	38.0	27.0	38.0
119	34.75460634242841	38.0	36.0	38.0	27.0	38.0
120	34.78887873633929	38.0	36.0	38.0	27.0	38.0
121	34.749645665967044	38.0	36.0	38.0	27.0	38.0
122	34.73869448264215	38.0	36.0	38.0	27.0	38.0
123	34.72186436997901	38.0	35.0	38.0	27.0	38.0
124	34.688881148826326	38.0	35.0	38.0	27.0	38.0
125	34.62429887095607	38.0	35.0	38.0	25.0	38.0
126	34.611619743793874	38.0	35.0	38.0	25.0	38.0
127	34.60144055631951	38.0	35.0	38.0	25.0	38.0
128	34.66359074569974	38.0	35.0	38.0	27.0	38.0
129	34.596727159779014	38.0	35.0	38.0	25.0	38.0
130	34.58230048732238	38.0	35.0	38.0	25.0	38.0
131	34.54377759282044	38.0	35.0	38.0	25.0	38.0
132	34.46032966635304	38.0	35.0	38.0	25.0	38.0
133	34.43010421943982	38.0	35.0	38.0	24.0	38.0
134	34.435545885503366	38.0	35.0	38.0	24.0	38.0
135	34.409679501097685	38.0	35.0	38.0	24.0	38.0
136	34.39840112421896	38.0	35.0	38.0	24.0	38.0
137	34.20417028539722	38.0	34.0	38.0	24.0	38.0
138	34.25150177317797	38.0	34.0	38.0	24.0	38.0
139	34.28001887771103	38.0	34.0	38.0	24.0	38.0
140	34.3676117584618	38.0	35.0	38.0	24.0	38.0
141	34.40369653325613	38.0	35.0	38.0	24.0	38.0
142	34.396626438445395	38.0	35.0	38.0	24.0	38.0
143	34.36966840365733	38.0	35.0	38.0	24.0	38.0
144	34.31656956406359	38.0	34.0	38.0	24.0	38.0
145	34.26588019589395	38.0	34.0	38.0	24.0	38.0
146	34.23792248679163	38.0	34.0	38.0	24.0	38.0
147	34.16220507346023	37.0	34.0	38.0	24.0	38.0
148	34.12837748184604	37.0	34.0	38.0	24.0	38.0
149	34.087200851607925	37.0	34.0	38.0	24.0	38.0
150	34.08550607946732	37.0	34.0	38.0	24.0	38.0
151	31.495327314178187	36.0	27.0	38.0	11.0	38.0
>>END_MODULE
>>Per tile sequence quality	fail
#Tile	Base	Mean
1101	1	-0.003395816508643179
1101	2	0.04007245119663594
1101	3	0.06007348481509922
1101	4	0.17755439014172936
1101	5	0.10523273548268719
1101	6	0.26293490957031196
1101	7	0.25267090894185884
1101	8	0.08514507485281797
1101	9	0.07478799211384768
1101	10	0.17349467136522634
1101	11	0.22197783655551717
1101	12	0.3275293835901181
1101	13	0.27193029796130475
1101	14	0.20267328468047197
1101	15	0.2441336826956757
1101	16	0.08445342954720303
1101	17	0.7782817544026983
1101	18	0.34759764725193776
1101	19	0.44782450842789245
1101	20	0.28111710335223705
1101	21	0.37644419696604814
1101	22	0.3725476453412142
1101	23	0.2343837757180367
1101	24	0.3277927686801121
1101	25	0.19431357168870278
1101	26	0.3773839822470322
1101	27	0.28349171016276387
1101	28	0.31029242752103414
1101	29	0.27492036538729536
1101	30	0.37315378372972674
1101	31	0.31937172964319416
1101	32	0.2442324898482866
1101	33	0.28253156193445506
1101	34	0.23168220345882418
1101	35	0.14604180610348294
1101	36	0.24123709565566287
1101	37	0.1860429536155408
1101	38	0.21038315609626324
1101	39	0.3424041767650152
1101	40	0.3099420908481392
1101	41	0.29410363340767276
1101	42	0.20119684061983634
1101	43	0.4369513117797652
1101	44	0.47451749520219266
1101	45	0.5549591506490117
1101	46	0.49579685929668926
1101	47	0.4389192055753455
1101	48	0.4972631808346648
1101	49	0.25082856551500754
1101	50	0.32615719642252117
1101	51	0.4244657903350131
1101	52	0.3307064837048941
1101	53	0.34533555632788193
1101	54	0.3436478693803622
1101	55	0.39385962710758093
1101	56	0.39952607395825623
1101	57	0.2611678039417811
1101	58	0.3434249890804608
1101	59	0.4227251645545067
1101	60	0.4724345035901152
1101	61	0.34022705841308465
1101	62	0.19191760430421567
1101	63	0.34605327515899376
1101	64	0.3106541718534288
1101	65	0.43483555355356174
1101	66	0.4289188048822865
1101	67	0.45388814868394434
1101	68	0.4063081030007467
1101	69	0.4760832847423373
1101	70	0.3822169144279641
1101	71	0.6049599510511783
1101	72	0.26895441601056547
1101	73	0.30860139691710486
1101	74	0.5681942584267361
1101	75	0.4114645180395726
1101	76	0.5752032222438856
1101	77	0.5537013282847383
1101	78	0.39617586397855575
1101	79	0.38880875148116445
1101	80	0.3878409449548599
1101	81	0.4080650891991482
1101	82	0.2889586517887537
1101	83	0.3765078921663729
1101	84	0.4518828590736774
1101	85	0.6541705131715219
1101	86	0.6190663114002675
1101	87	0.380235970913823
1101	88	0.3469903616693486
1101	89	0.3301864880431111
1101	90	0.330074737633943
1101	91	0.3998463456174619
1101	92	0.48578230405662026
1101	93	0.5647577342582224
1101	94	0.5777311588209955
1101	95	0.45559000479912015
1101	96	0.3842751028358862
1101	97	0.634543916333584
1101	98	0.49342748976866346
1101	99	0.3342382507689763
1101	100	0.5027374177157569
1101	101	0.42149945253324006
1101	102	0.5424625518045545
1101	103	0.3761187035293645
1101	104	0.5131209735495261
1101	105	0.29511589844033637
1101	106	0.7100953518148714
1101	107	0.6582669471180438
1101	108	0.45697219223876573
1101	109	0.1966757240181991
1101	110	0.3558517786786908
1101	111	0.44489624144880935
1101	112	0.3450727021753295
1101	113	0.38000162941995796
1101	114	0.27683199777217027
1101	115	0.13613494364163614
1101	116	0.3472632758232379
1101	117	0.5153900516396561
1101	118	0.40836545620516773
1101	119	0.5689562345725605
1101	120	0.5290374849344559
1101	121	0.40161732112503046
1101	122	0.4954939295091947
1101	123	0.4813122629739368
1101	124	0.33368241626367734
1101	125	0.45371764160735495
1101	126	0.5724558134694036
1101	127	0.49974707748471303
1101	128	0.4121076064573188
1101	129	0.47381936379728273
1101	130	0.5454869137650533
1101	131	0.4933918291674786
1101	132	0.5576064864365549
1101	133	0.31970363600286333
1101	134	0.5027918104326261
1101	135	0.5362290354324557
1101	136	0.6016728430379814
1101	137	0.6345030499844242
1101	138	0.3847941605958738
1101	139	0.5656052383189945
1101	140	0.4695742491130943
1101	141	0.4282761237093311
1101	142	0.39710936573375477
1101	143	0.369509987305392
1101	144	0.45548185033825916
1101	145	0.08866694835818834
1101	146	0.23538257723159006
1101	147	0.44796253425784727
1101	148	0.30735051423565807
1101	149	0.42627596442297744
1101	150	0.5890465251248784
1101	151	-0.02810898044031873
1102	1	0.03422131121745764
1102	2	0.15316999886605487
1102	3	-0.010788623151320564
1102	4	0.0814443213487337
